"","France","Germany","Italy","Japan","United.Kingdom","United.States"
"1996-04-08",0.000231949923633914,1.66133567458042e-05,0,0.0011846261436483,0.000119592065076807,0.000815464381821595
"1996-04-15",0.0062228812939609,0.00599742178498728,0.0326052350561125,0.256483648120331,0.047080628701452,0.0318540774146657
"1996-04-22",0.0127560488102637,0.0279270526886301,0.0924785262994537,0.195669808165867,0.0297679400881218,0.00928864897408961
"1996-04-29",0.0535410023378939,0.216239377204143,0.10719378371455,0.297868022070064,0.0692603930028869,0.0974149112219602
"1996-05-06",0.00477280447776208,0.061590429310612,0.109423854723897,0.34907004259656,0.127575336524593,0.0106452242385887
"1996-05-13",0.0243259281267019,0.0440546964841351,0.0513077623458207,0.341861392528676,0.00702700468776985,0.0188167161715669
"1996-05-20",0.0125194261289182,0.0174847374462269,0.0209081006949507,0.424248147871004,0.0223296689605722,0.0106452242385885
"1996-05-27",0.0871336803460827,0.139795183848711,0.0209726166428346,1.4595963830617,0.26035782964198,0.190397143944994
"1996-06-03",0.00534652797601002,0.0508793440876468,0.0125897675855817,0.317429705494297,0.110298987370177,0.0241998837010876
"1996-06-10",0.0390577075258085,0.0380777458951783,0.0579446624670255,0.282912530666717,0.0866685606131593,0.0599143878269767
"1996-06-17",0.0115555527715132,0.0539618196155578,0.0775734496153088,0.620158200769648,0.01990297231239,0.0598791979298696
"1996-06-24",0.0607124486341688,0.0785518777083776,0.11817088581777,0.117380239749218,0.109844154986958,0.0167485387999114
"1996-07-01",0.0129406725633626,0.0162089943553266,0.0491443619552661,0.120562011082127,0.0625101967976383,0.00922010912218172
"1996-07-08",0.00632596905829736,0.0120603296079155,0.000672537715463026,0.130729286159765,0.0296182908306473,0.00790018405868058
"1996-07-15",0.320483128364568,0.53384105489495,0.208213823560071,0.416717413429594,0.268290436273125,0.0692182526481255
"1996-07-22",0.0559613154969264,0.0852543472111133,0.194363399767644,0.254163665450589,0.011033901751029,0.0367579763878327
"1996-07-29",0.205429516342764,0.168085273053959,0.0958854236186018,0.894667133760405,0.0689376798059581,0.0632795378270495
"1996-08-05",0.0462008031777801,0.0827310829292098,0.11047072738503,0.182870332662811,0.0679903871772692,0.0133664400468589
"1996-08-12",0.0216286308504786,0.0592572633791953,0.0342128137631407,0.0160879426429209,0.0376779724274817,0.00930425688947515
"1996-08-19",0.00640069917425654,0.127247422487261,0.0425383921348905,0.0478192695818816,0.0255495922310432,0.0132911033355849
"1996-08-26",0.020439629519991,0.0199265384167518,0.0281949995374445,0.0794390236413665,0.0103465290853231,0.0190710327303539
"1996-09-02",0.0215593854261426,0.0164226046506375,0.0264614178022284,0.0847985823679252,0.0581034777879442,0.00752430383489693
"1996-09-09",0.0280910277101179,0.114046803621092,0.0298283197188806,0.132714917919483,0.0409757165259366,0.0242424644251179
"1996-09-16",0.0452846020704899,0.0127683722855692,0.0108817741849216,0.458112307341424,0.116170125601717,0.0253548487181777
"1996-09-23",0.0346186295074931,0.0773777764069891,0.0791454863532644,0.16219716490048,0.08908672395828,0.0515121351399712
"1996-09-30",0.0507035242946633,0.0772452925107054,0.108263444959442,0.0902036031220748,0.047667836992941,0.00472726463804941
"1996-10-07",0.0239535929056989,0.0195532839296998,0.091999486084991,0.0575519993929952,0.34916357694762,0.0132719202023145
"1996-10-14",0.021491050858115,0.010095014646924,0.238852714337878,0.0436776767282759,0.190317631518679,0.0479793381611717
"1996-10-21",0.0988650398449659,0.0783125669818247,0.0957002690469739,0.0289373466696415,0.243382772374951,0.0209616771358219
"1996-10-28",0.152856287005103,0.364822930204893,0.129526694229463,0.376559166404916,1.62257737802409,0.0089724020323106
"1996-11-04",0.0202364800944295,0.0432749561178865,0.00639983102724636,1.70961576867898,0.325508129170599,0.0535480632301358
"1996-11-11",0.01712465294219,0.0483901984621936,0.00152836794341001,0.19977518451936,0.36988983061404,0.00540127868024054
"1996-11-18",0.0173286646313047,0.00600999789944487,0.104910894328715,0.182375557793232,0.106447505664142,0.00605207522999879
"1996-11-25",0.102203756703091,0.0269513670213105,0.111656369924184,0.0942081809195079,0.373620376226456,0.0312607191630987
"1996-12-02",0.323066976311069,0.652051474854389,0.0194324551599687,0.359967735479147,2.57786074079347,0.113075290717451
"1996-12-09",0.0753800864766257,0.0244150181819207,0.0114353151402761,0.015726875618201,0.0315614341041307,0.00149725368052713
"1996-12-16",0.0366240476832823,0.0248167587655027,0.00605742552226807,0.0873911062024663,0.284046153480731,0.0200216953428384
"1996-12-23",0.00238243233463257,0.000144467563204168,0.00020037913749808,0.153087866437986,0.101602977155546,0.00712742247923407
"1996-12-30",0.0530968969274129,0.112671027474772,0.0330291817895087,0.420269484371339,0.762647901277818,0.0371679110366365
"1997-01-06",0.0120805962090113,0.0643861903905692,0.0361070970462933,0.214295307866656,0.13916050361245,0.0334214368135806
"1997-01-13",0.0138005577356993,0.0980716866215921,0.00432644210168232,0.287273773448226,0.0688532670595153,0.0198779691391681
"1997-01-20",0.148753467654878,0.197921853041987,0.105246253671654,0.302452125158968,1.37647277690791,0.0794830592256367
"1997-01-27",0.113184477649339,0.214955740636636,0.235349335842714,1.17377495304055,0.488589580415961,0.0453866188039228
"1997-02-03",0.0152624776059933,0.102449244743043,0.0113782594339309,0.209599308911635,0.51802946584658,0.0754295706529064
"1997-02-10",0.127033532679682,0.194150848256249,0.0609588401718264,0.229447045457962,0.751884913209627,0.0412611468962588
"1997-02-17",0.0343708871557013,0.0800485635724004,0.237259876449447,0.108279330482672,0.412413646570644,0.172311053240708
