"","France","Germany","Italy","Japan","United.Kingdom","United.States"
"1996-04-08",110.481455153669,115.586543613373,97.0438834951456,113.908370322581,105.747190923318,103.285424795469
"1996-04-15",110.382275559272,115.387777968281,97.1023504392048,114.725990709677,105.717379655712,103.229203272498
"1996-04-22",110.140092828769,114.501357265324,98.5505316689783,116.271874064516,106.154611580595,103.430303335431
"1996-04-29",110.024027578751,114.208146408896,98.4146108752283,118.680627574754,105.885629002617,103.057323881419
"1996-05-06",110.048853027755,114.473504753673,98.5218885484054,117.985451765006,106.468038020457,103.037836619718
"1996-05-13",109.599278805719,113.978257778738,99.268709567586,116.985373263668,106.823505527431,103.281379029734
"1996-05-20",109.486308873002,113.882165082109,99.5363954148224,116.095422454441,106.997927471846,103.643459780908
"1996-05-27",109.573918208579,114.032463915298,99.8198274883668,115.175707404103,107.900947411923,103.865449765258
"1996-06-03",109.460701134931,114.333208741522,99.9310306707112,113.844878144142,109.11770749543,103.559749558717
"1996-06-10",109.400897856242,114.372611906556,99.9332803055835,113.592858073765,108.603053422709,103.897582390198
"1996-06-17",109.584907944515,114.70507611153,100.248229187732,114.171021764629,108.620723948812,103.596330183782
"1996-06-24",109.561906683481,114.421865862848,100.684658352994,113.397171901473,108.8526496039,103.882519779878
"1996-07-01",109.491301971419,114.561534764499,100.507833109018,112.211976945245,109.077658006901,104.008907542074
"1996-07-08",109.493596328361,114.746331304069,100.467436069987,112.117175792507,108.853845950883,104.228590068564
"1996-07-15",110.188786481694,115.667850048061,100.0791756393,113.0414870317,107.77867038766,103.806455017661
"1996-07-22",110.594887660373,116.116289650753,100.061221399731,114.187988472623,107.328852039781,103.336937461043
"1996-07-29",110.549059333987,116.397983957911,99.2690800798477,114.397187993311,107.357806463941,103.118796591694
"1996-08-05",109.661233806937,116.103732260114,99.8363850555369,113.997972797928,107.131095935292,103.023855129945
"1996-08-12",109.247762641036,116.145513874179,99.9708448333894,113.727144818653,107.533819596601,103.019558709947
"1996-08-19",109.142681571249,115.872704511756,100.147883540895,113.317959067357,107.683465547251,103.144154889886
"1996-08-26",109.158672168826,116.248739038339,100.076171659374,113.144275906736,107.879325688543,102.952964199979
"1996-09-02",108.889049317943,115.446310333795,99.9896549115587,112.238431372549,108.927199354318,103.03634291645
"1996-09-09",108.61048478489,114.774016423163,100.382497719435,111.876504803263,109.15210976594,103.398618578101
"1996-09-16",108.802283315845,114.485541217874,100.360177105351,111.811769969733,109.365995157385,103.484364296834
"1996-09-23",109.121947534103,114.216623653621,100.761948158861,111.523405711278,109.696745762712,103.514375298391
"1996-09-30",108.794325091753,113.503269585538,100.999174544356,110.408665089349,110.278443283204,103.736525552616
"1996-10-07",108.831730829749,113.331307708825,101.053909121061,110.592777225728,110.368993106165,103.723467024461
"1996-10-14",108.548558690863,113.097584711187,100.615521503593,109.965647106217,112.003095528856,104.135170193002
"1996-10-21",109.025840763663,113.506599957054,100.386313764511,109.102975157782,112.467154224936,104.141603055011
"1996-10-28",109.286321102928,113.887602532144,100.637303297398,107.769233580359,113.901991838589,104.13997312982
"1996-11-04",108.964800838574,113.572516736178,100.550073173428,108.181183140318,115.105896587579,103.627776649746
"1996-11-11",109.108340461216,113.761715324564,100.41183243064,109.637113385402,115.437499952736,103.261472081218
"1996-11-18",108.880499790356,113.693797882579,101.027226704985,109.405687853488,116.774893657246,103.199350253807
"1996-11-25",107.969137106918,112.966111004171,101.794239858516,108.04935847024,117.866329898856,103.794862944162
"1996-12-02",107.712976979937,112.404469356927,101.542221395756,108.277706648575,117.280017476992,103.855750614754
"1996-12-09",107.974841816262,112.71513314631,101.515554145701,108.57325156038,117.170200613554,103.93246454918
"1996-12-16",107.872372967265,112.501551791109,101.708891708598,107.771476255088,118.437487217626,104.205225204918
"1996-12-23",107.92474593453,112.4966976694,101.844450229709,107.291581546811,119.250132007065,104.224403688525
"1996-12-30",107.868697779591,112.891567203141,101.718283395056,105.436070616824,120.117212333606,104.327467279094
"1997-01-06",107.063680409076,112.451801220575,101.458391916985,105.721065923345,119.936147391463,104.222165450122
"1997-01-13",106.577729199957,111.806282476025,101.92104554888,104.993400418118,119.69226851514,104.479425385239
"1997-01-20",106.089507190796,111.112045335658,101.378700382305,104.172593728223,119.803320503466,105.28097080292
"1997-01-27",106.357461595824,111.433586748038,100.789868487165,102.382536585366,118.183267967895,106.114407948094
"1997-02-03",106.0063567823,110.821312376346,99.73023772495,100.061766987502,119.471723265896,106.33358670779
"1997-02-10",105.49382150145,110.171490437459,99.5850699844479,99.9895431690849,120.771746748555,106.738808476768
"1997-02-17",105.4257858447,110.181189272368,98.6524772272828,100.292883206436,120.332608381503,107.103720226843
"1997-02-24",105.645767801525,110.324247087272,98.3423461453011,101.844250826031,121.043490787572,106.74941637648
"1997-03-03",105.050928908935,109.378456935431,97.5685007874016,102.382232226813,120.856493887531,107.609384493983
"1997-03-10",105.338615549828,109.670848091519,97.8781932508436,101.503365151731,119.72447595762,107.730401262576
"1997-03-17",105.932110824742,110.429615223848,97.6234107986502,101.037912523152,118.918374898125,107.741016768593
